T29,Patents,,,,,
496,Mongolia,2021,Patents in force (number),"1,445",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
496,Mongolia,2022,Patents in force (number),"1,533",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
499,Montenegro,2010,Grants of patents (number),264,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
499,Montenegro,2020,Grants of patents (number),4,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
499,Montenegro,2022,Grants of patents (number),7,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
499,Montenegro,2010,Patents in force (number),264,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
504,Morocco,1985,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
504,Morocco,1995,Resident patent filings (per million population),3,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
504,Morocco,2005,Resident patent filings (per million population),5,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
504,Morocco,2010,Resident patent filings (per million population),5,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
504,Morocco,2020,Resident patent filings (per million population),7,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
504,Morocco,2021,Resident patent filings (per million population),7,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
504,Morocco,2022,Resident patent filings (per million population),7,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
504,Morocco,1985,Grants of patents (number),313,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
504,Morocco,1995,Grants of patents (number),354,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
504,Morocco,2005,Grants of patents (number),556,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
504,Morocco,2010,Grants of patents (number),808,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
504,Morocco,2020,Grants of patents (number),400,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
504,Morocco,2021,Grants of patents (number),745,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
504,Morocco,2022,Grants of patents (number),579,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
504,Morocco,2005,Patents in force (number),"9,872",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
504,Morocco,2020,Patents in force (number),"10,192",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
504,Morocco,2021,Patents in force (number),"10,215",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
504,Morocco,2022,Patents in force (number),"10,128",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
508,Mozambique,2010,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
508,Mozambique,2020,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
508,Mozambique,2021,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
508,Mozambique,2022,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
508,Mozambique,2005,Grants of patents (number),14,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
508,Mozambique,2020,Patents in force (number),"3,791",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
508,Mozambique,2021,Patents in force (number),"4,259",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
508,Mozambique,2022,Patents in force (number),"4,753",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
516,Namibia,2022,Resident patent filings (per million population),6,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
516,Namibia,2020,Grants of patents (number),21,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
516,Namibia,2022,Grants of patents (number),29,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
516,Namibia,2020,Patents in force (number),664,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
516,Namibia,2022,Patents in force (number),"2,195",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
524,Nepal,1985,Grants of patents (number),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
524,Nepal,1995,Grants of patents (number),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
524,Nepal,2005,Grants of patents (number),3,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
528,Netherlands (Kingdom of the),1985,Resident patent filings (per million population),134,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
528,Netherlands (Kingdom of the),1995,Resident patent filings (per million population),137,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
528,Netherlands (Kingdom of the),2005,Resident patent filings (per million population),614,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
528,Netherlands (Kingdom of the),2010,Resident patent filings (per million population),511,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
528,Netherlands (Kingdom of the),2020,Resident patent filings (per million population),492,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
528,Netherlands (Kingdom of the),2021,Resident patent filings (per million population),493,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
528,Netherlands (Kingdom of the),2022,Resident patent filings (per million population),489,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
528,Netherlands (Kingdom of the),1985,Grants of patents (number),"2,145",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
528,Netherlands (Kingdom of the),1995,Grants of patents (number),673,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
528,Netherlands (Kingdom of the),2005,Grants of patents (number),"2,373",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
528,Netherlands (Kingdom of the),2010,Grants of patents (number),"1,947",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
528,Netherlands (Kingdom of the),2020,Grants of patents (number),"1,911",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
528,Netherlands (Kingdom of the),2021,Grants of patents (number),"2,264",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
528,Netherlands (Kingdom of the),2022,Grants of patents (number),"2,815",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
528,Netherlands (Kingdom of the),2005,Patents in force (number),"135,215",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
528,Netherlands (Kingdom of the),2010,Patents in force (number),"135,127",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
528,Netherlands (Kingdom of the),2020,Patents in force (number),"212,855",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
528,Netherlands (Kingdom of the),2021,Patents in force (number),"212,866",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
